Exercise,Type,Sets,Reps,Notes
Bulgarian split squat (DB),Compound,3,10,/leg
Overhead Press,Compound,3,10,
Pull-up or lat pulldown,Compound,4,10,
Dip or Chest Flys,Compound,3,10,
Leg curl (lying or seated),Isolation,3,15,
A1: Hammer curl,Isolation,3,12,
Seated calf raise,Isolation,3,20,
Dead bug,Core,3,8,/side
