Exercise,Type,Sets,Reps,Notes
Back squat,Compound,4,8,
Romanian deadlift,Compound,3,8,
Barbell bench press,Compound,3,8,
Chest-supported row,Compound,3,10,
Face pulls,Isolation,3,15,
A1: Incline DB curl,Isolation,3,12,
Standing calf raise,Isolation,3,15,
Pallof press,Core,3,10,
