Exercise,Type,Sets,Reps,Notes
Bulgarian split squat (BB or DB),Compound,3,12,/leg
Incline DB bench press,Compound,3,12,
Lateral Raise,Compound,3,12,
Seated cable row,Compound,3,12,
Hip thrust or glute bridge,Compound,3,12,
Leg curl (lying or seated),Isolation,3,15,
Preacher curl (DB or machine),Isolation,3,15,
Standing calf raise,Isolation,3,15,
Hanging knee raise,Core,3,15,
