Exercise,Type,Sets,Reps,Notes
Back squat (or safety-bar squat),Compound,4,6,
Single-leg RDL (DB),Compound,3,10,/leg
Overhead press (barbell),Compound,4,8,
Weighted pull-up or heavy pulldown,Compound,4,8,
A1: Cable curl,Isolation,3,12,
Chest-supported row,Compound,3,10,
Seated calf raise,Isolation,3,20,
Cable woodchop,Core,3,10,/side
